Name	Description	Price (₽)	GP (1 Gp / 5 ₽)	Type	Rarity	Icon Folder	Foundry Type	Folder Name
Potion	Restores 2d4+2 HP	200	40	Medicine	Common	medicine	consumable	medicine
Super Potion	Restores 3d6+6 HP	500	100	Medicine	Uncommon	medicine	consumable	medicine
Hyper Potion	Restores 4d12+10 HP	800	160	Medicine	Rare	medicine	consumable	medicine
Antidote	Instantly cures and grants immunity to the "Poisoned" status for one round	200	40	Medicine	Common	medicine	consumable	medicine
Paralyze Heal	Instantly cures and grants immunity to the "Paralyzed" status for one round	200	40	Medicine	Common	medicine	consumable	medicine
Burn Heal	Instantly cures and grants immunity to the "Burned" status for one round	200	40	Medicine	Common	medicine	consumable	medicine
Ice Heal	Instantly cures and grants immunity to the "Frozen" status for one round	200	40	Medicine	Common	medicine	consumable	medicine
Awakening	Instantly wakes and grants immunity to the "Asleep" status for one round	200	40	Medicine	Common	medicine	consumable	medicine
Full Heal	Restores all Status Effects and grants immunity to all statuses for one round.	450	90	Medicine	Uncommon	medicine	consumable	medicine
Revive	Revives fainted Pokémon with 2d4+2 HP	3,000	600	Medicine	Uncommon	medicine	consumable	medicine
Max Revive	Revives fainted Pokémon with 4d12+10 HP	5,000	1,000	Medicine	Rare	medicine	consumable	medicine
Ether	Restores 5 PP to a single move	500	100	Medicine	Common	medicine	consumable	medicine
Max Ether	Restores 5 PP to all moves	1,800	360	Medicine	Common	medicine	consumable	medicine
Elixir	Restores 10 PP to a single move	900	180	Medicine	Uncommon	medicine	consumable	medicine
Max Elixir	Restores 10 PP to all moves	3,200	640	Medicine	Rare	medicine	consumable	medicine
Sacred Ash	Restores HP of all fainted Pokemon carried by the trainer. Only usable outside of battle	10,000	2,000	Medicine	Very Rare	medicine	consumable	medicine
Lava Cookie	Restores all Status Effects	450	90	Medicine	Uncommon	medicine	consumable	medicine
Mighty Candy	Increases STR by +1 for 1 minute	1,000	200	Medicine	Rare	medicine	consumable	medicine
Quick Candy	Increases DEX by +1 for 1 minute	1,000	200	Medicine	Rare	medicine	consumable	medicine
Health Candy	Gives 20 temp HP for 1 minute	1,000	200	Medicine	Rare	medicine	consumable	medicine
Smart Candy	Increases INT by +1 for 1 minute	1,000	200	Medicine	Rare	medicine	consumable	medicine
Tough Candy	Increases AC by +1 for 1 minute	1,000	200	Medicine	Rare	medicine	consumable	medicine
Courage Candy	Increases WIS by +1 for 1 minute	1,000	200	Medicine	Rare	medicine	consumable	medicine
Candy Bar	Restores 5 HP	150	30	Medicine	Common	medicine	consumable	medicine
Fresh Water	Restores 7 HP	200	40	Medicine	Common	medicine	consumable	medicine
Soda Pop	Restores 10 HP	275	55	Medicine	Common	medicine	consumable	medicine
Berry Juice	Restores 20 HP	500	100	Medicine	Common	medicine	consumable	medicine
Lemonade	Restores 30 HP	650	130	Medicine	Common	medicine	consumable	medicine
MooMoo Milk	Restores 50 HP	1,200	240	Medicine	Common	medicine	consumable	medicine
Energy Powder	Restores 3d6+6 HP. 1/4 chance to lower Loyalty by 1	300	60	Medicine	Uncommon	medicine	consumable	medicine
Energy Root	Restores 4d12+10 HP. 1/4 chance to lower Loyalty by 1	700	140	Medicine	Uncommon	medicine	consumable	medicine
Heal Powder	Restores all negative status effects. 1/4 chance to lower Loyalty by 1	300	60	Medicine	Uncommon	medicine	consumable	medicine
Revival Herb	Revives fainted Pokémon with 4d12+10 HP. 1/4 chance to lower Loyalty by 1	4,200	840	Medicine	Rare	medicine	consumable	medicine
Pokéball	+0 to Capture Rolls	250	50	Pokeball	Common	ball	consumable	pokeball
Great ball	+5 to Capture Rolls	500	100	Pokeball	Uncommon	ball	consumable	pokeball
Ultra ball	+10 to Capture Rolls	1,000	200	Pokeball	Rare	ball	consumable	pokeball
Hyper ball	+20 to Capture Rolls	2,400	480	Pokeball	Very Rare	ball	consumable	pokeball
Nest ball	+5 to Capture Rolls against Pokémon level 5 or below	400	80	Pokeball	Uncommon	ball	consumable	pokeball
Level ball	+5 to Capture Rolls if active Pokémon is a higher level than target.	400	80	Pokeball	Uncommon	ball	consumable	pokeball
Timer ball	+1 to Capture Rolls for each round of combat that has passed before throwing. (Max +10)	600	120	Pokeball	Uncommon	ball	consumable	pokeball
Luxury ball	+5 to Capture Rolls. Sets Loyalty level to +1 after catch	800	160	Pokeball	Uncommon	ball	consumable	pokeball
Repeat ball	+10 to Capture Rolls against species already caught by user	800	160	Pokeball	Rare	ball	consumable	pokeball
Net ball	+10 to Capture Rolls against Bug or Water type Pokémon	800	160	Pokeball	Rare	ball	consumable	pokeball
Dive ball	+10 to Capture Rolls while fishing or underwater	800	160	Pokeball	Rare	ball	consumable	pokeball
Dusk ball	+10 to Capture Rolls at night or in dark places like caves	800	160	Pokeball	Rare	ball	consumable	pokeball
Moon ball	+10 to Capture Rolls against Pokémon that evolve with Moon Stone	800	160	Pokeball	Rare	ball	consumable	pokeball
Heal ball	+5 to Capture Rolls. Restores caught Pokémon’s health and cures all status effects	1,000	200	Pokeball	Rare	ball	consumable	pokeball
Quick ball	+15 to Capture Rolls only if used in the first round of combat	1,000	200	Pokeball	Very Rare	ball	consumable	pokeball
Love ball	+15 to Capture Rolls against target that is the same species as your Active Pokémon	1,300	260	Pokeball	Very Rare	ball	consumable	pokeball
Heavy ball	+15 to Capture Rolls against Pokémon of size Medium or bigger.	1,300	260	Pokeball	Very Rare	ball	consumable	pokeball
Master ball	Automatic Success on Capture Roll			Pokeball	Legendary	ball	consumable	pokeball
X Attack	Adds +2 to attack rolls for 1 minute	350	70	X-Item	Uncommon	battle-item	consumable	x-item
X Defense	Adds +2 to AC for 1 minute	350	70	X-Item	Uncommon	battle-item	consumable	x-item
X Special	Increases your Move DC by +2 for 1 minute	350	70	X-Item	Uncommon	battle-item	consumable	x-item
X Special Defense	Increases saving throws by +2 for 1 minute	350	70	X-Item	Uncommon	battle-item	consumable	x-item
X Speed	Increases a speed type by 10 feet for 1 minute	350	70	X-Item	Uncommon	battle-item	consumable	x-item
Dire Hit	Critical hits on attacks occur on rolls of 19 and 20 for 1 minute	400	80	X-Item	Rare	battle-item	consumable	x-item
X Accuracy	Grants advantage on next three attack rolls	350	70	X-Item	Rare	battle-item	consumable	x-item
Guard Spec	Prevents status ailments for 1 minute	700	140	X-Item	Rare	battle-item	consumable	x-item
Dawn Stone	Evolves Kirlia and Snorunt	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Deep Sea Scale/Tooth	Evolves Clamperl	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Dragon Scale	Evolves Seadra	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Dubious Disc	Evolves Porygon2	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Dusk Stone	Evolves Misdreavus, Murkrow, Lampent, and Doublade	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Electirizer	Evolves Electabuzz	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Fire Stone	Evolves Vulpix, Growlithe, Eevee, and Pansear	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Icy Rock	Evolves Eevee	4,000	800	Evolution	Rare	evo-item	consumable	evolution
King's Rock	Evolves Slowpoke and Poliwhirl. On natural attack rolls of 19 or 20, the target flinches.	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Leaf Stone	Evolves Gloom, Weepinbell, Exeggcute, Nuzleaf, and Pansage	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Magmarizer	Evolves Magmar	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Metal Coat	Evolves Onix, Scyther. Holder adds prof. bonus to damage from steel-type moves (once per move).	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Moon Stone	Evolves Nidorina, Nidorino, Clefairy, Jigglypuff, Skitty, and Munna	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Mossy Rock	Evolves Eevee	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Oval Stone	Evolves Happiny	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Prism Scale	Evolves Feebas	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Protector	Evolves Rhydon	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Razor Claw	Evolves Sneasel	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Razor Fang	Evolves Gligar	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Reaper Cloth	Evolves Dusclops	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Sachet	Evolves Spritzee	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Shiny Stone	Evolves Togetic, Roselia, Minccino, and Floette	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Sun Stone	Evolves Gloom, Sunkern, Cottonee, Petilil, and Helioptile	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Thunder Stone	Evolves Pikachu, Eevee, and Eelektrik	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Up-Grade	Evolves Porygon	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Water Stone	Evolves Poliwhirl, Shellder, Eevee, Staryu, Lombre, and Panpour	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Whipped Dream	Evolves Swirlix	4,000	800	Evolution	Rare	evo-item	consumable	evolution
Eviolite	A consumable form of the stone that permanently prevents any future evolutions. The Pokémon now gains the same ASI level boost as other one or two-evolutionary stage Pokémon, depending on its current stage. (For example, giving this to an Ivysaur holds Ivysaur at a two-stage Pokemon, thus it would gain 3 points at each ASI level as described in the Pokémon Advancement section.) This boost is retroactive, and any extra points must be spent at the time of ingestion - none of which may be spent on a feature.	4,000	800	Evolution	Very Rare	hold-item	equipment	evolution
Megalite	Allows a final-stage Pokémon to "Mega Evolve" (See Running A Game section)			Evolution	Legendary		equipment	evolution
Cheri Berry	Cures paralysis. Activated when a Pokémon becomes paralyzed	200	40	Berry	Common	berry	consumable	berry
Chesto Berry	Wakes from sleep. Activated when a Pokémon falls asleep	200	40	Berry	Common	berry	consumable	berry
